id,census_name,name
48060,Etcherla,Etcherla
47970,Ganguvarisigadam,Ganguvarisigadam
48010,Gara,Gara
47830,Hiramandalam,Hiramandalam
47780,Ichchapuram,Ichchapuram
47920,Jalumuru,Jalumuru
47770,Kanchili,Kanchili
47790,Kaviti,Kaviti
47910,Kotabommali,Kotabommali
47720,Kothuru,Kothuru
47870,Lakshminarsupeta,Lakshminarsupeta
48040,Laveru,Laveru
47760,Mandasa,Mandasa
47740,Meliaputti,Meliaputti
47820,Nandigam,Nandigam
47990,Narasannapeta,Narasannapeta
47750,Palasa,Palasa Mandal
47730,Pathapatnam,Pathapatnam
48000,Polaki,Polaki
48030,Ponduru,Ponduru
48050,Ranastalam,Ranastalam
47900,Santhabommali,Santhabommali
47880,Saravakota,Saravakota
47930,Sarubujjili,Sarubujjili
47800,Sompeta,Sompeta
48020,Srikakulam,Srikakulam
47890,Tekkali,Tekkali
47810,Vajrapukothuru,Vajrapukothuru
51880,Balayapalle,Balayapalli
53800,Buchinaidu Kandriga,Buchinaidu Kandriga
53840,Chandragiri,Chandragiri
51900,Chillakur,Chilakuru
53850,Chinnagottigallu,Chinnagottigallu
51930,Chittamur,Chittamuru
51860,Dakkili,Dakkili
51960,Doravarisatram,Doravarisatramu
53820,K.V.B.Puram,K.V.B.Puram
51910,Kota,Kota
54030,Nagalapuram,Nagalapuram
51940,Naidupet,Naidupeta
54000,Narayanavanam,Narayanavanam
51890,Ojili,Ojili
53960,Pakala,Pakala
51950,Pellakur,Pellakuru
54010,Pichatur,Pichatur
54070,Puttur,Puttur
53760,Renigunta,Renigunta
54020,Satyavedu,Satyavedu
53780,Srikalahasti,Srikalahasti
51970,Sullurpeta,Sullurpeta
51980,Tada,Tada
53790,Thottambedu,Thottambedu
53750,Tirupati (Rural),Tirupati Rural
53830,Tirupati (Urban),Tirupati Urban
53990,Vadamalapeta,Vadamalapeta
51920,Vakadu,Vakadu
53810,Varadaiahpalem,Varadaiahpalem
51870,Venkatagiri,Venkatagiri
53770,Yerpedu,Yerpedu
53740,Yerravaripalem,Yerravaripalem
48630,Anandapuram,Anandapuram
48650,Bheemunipatnam,Bheemunipatnam
48690,Gajuwaka,Gajuwaka
49511,Gopalapuram,Gopalapatnam
48670,Visakhapatnam (Urban),Maharanipeta
48671,Visakhapatnam (Urban),Mulagada
48640,Padmanabham,Padmanabham
48680,Pedagantyada,Pedagantyada
48620,Pendurthi,Pendurthi
48651,Bheemunipatnam,Seethammadhara
48660,Visakhapatnam (Rural),Visakhapatnam Rural
48200,Badangi,Badangi
48400,Bhogapuram,Bhogapuram
48160,Bobbili,Bobbili
48290,Bondapalle,Bondapalle
48270,Cheepurupalle,Cheepurupalle
48230,Dattirajeru,Dattirajeru
48390,Denkada,Denkada
48250,Gajapathinagaram,Gajapathinagaram
48300,Gantyada,Gantyada
48260,Garividi,Garividi
48280,Gurla,Gurla
48350,Jami,Jami
48340,Kothavalasa,Kothavalasa
48330,Lakkavarapukota,Lakkavarapukota
48240,Mentada,Mentada
48220,Merakamudidam,Merakamudidam
48370,Nellimarla,Nellimarla
48380,Pusapatirega,Pusapatirega
47960,Rajam,Rajam
48190,Ramabhadrapuram,Ramabhadrapuram
47860,Regidi Amadalavalasa,Regidi Amadalavalasa
47950,Santhakaviti,Santhakaviti
48310,Srungavarapukota,Srungavarapukota
48210,Therlam,Therlam
